"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"BERO1","non-winter","PICE",8,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","PITE",35,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","Taph.",1,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","Tad.aeg/Mop.plic",0,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","winter","PICE",4,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","PITE",3,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","Taph.",1,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","Tad.aeg/Mop.plic",0,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO2","non-winter","PICE",19,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","PITE",12,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","Taph.",51,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","Tad.aeg/Mop.plic",5,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","winter","PICE",3,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","PITE",6,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","Taph.",1,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","Tad.aeg/Mop.plic",0,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO3","non-winter","PICE",49,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","PITE",11,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","Taph.",16,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","Tad.aeg/Mop.plic",2,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","winter","PICE",33,60,40,33.1,0,55.1,"High","High","zero built-up"
"BERO3","winter","PITE",11,60,40,33.1,0,55.1,"High","High","zero built-up"
"BERO3","winter","Taph.",0,60,40,33.1,0,55.1,"High","High","zero built-up"
"BERO3","winter","Tad.aeg/Mop.plic",0,60,40,33.1,0,55.1,"High","High","zero built-up"
"BERO4","non-winter","PICE",2,70,30,28,0,99.1,"High","High","zero built-up"
"BERO4","non-winter","PITE",102,70,30,28,0,99.1,"High","High","zero built-up"
"BERO4","non-winter","Taph.",1,70,30,28,0,99.1,"High","High","zero built-up"
"BERO4","non-winter","Tad.aeg/Mop.plic",0,70,30,28,0,99.1,"High","High","zero built-up"
"BERO4","winter","PICE",2,70,30,35.43,0,55.1,"High","High","zero built-up"
"BERO4","winter","PITE",19,70,30,35.43,0,55.1,"High","High","zero built-up"
"BERO4","winter","Taph.",0,70,30,35.43,0,55.1,"High","High","zero built-up"
"BERO4","winter","Tad.aeg/Mop.plic",0,70,30,35.43,0,55.1,"High","High","zero built-up"
"BERO5","winter","PICE",0,56.65,43.35,45,0,31.6,"High","High","zero built-up"
"BERO5","winter","PITE",2,56.65,43.35,45,0,31.6,"High","High","zero built-up"
"BERO5","winter","Taph.",3,56.65,43.35,45,0,31.6,"High","High","zero built-up"
"BERO5","winter","Tad.aeg/Mop.plic",2,56.65,43.35,45,0,31.6,"High","High","zero built-up"
"BERO6","winter","PICE",32,85,25,40,0,31.6,"High","High","zero built-up"
"BERO6","winter","PITE",5,85,25,40,0,31.6,"High","High","zero built-up"
"BERO6","winter","Taph.",29,85,25,40,0,31.6,"High","High","zero built-up"
"BERO6","winter","Tad.aeg/Mop.plic",0,85,25,40,0,31.6,"High","High","zero built-up"
"CHBA1","non-winter","PICE",34,40,0,155,0,98.5,"High","High","zero built-up"
"CHBA1","non-winter","PITE",92,40,0,155,0,98.5,"High","High","zero built-up"
"CHBA1","non-winter","Taph.",19,40,0,155,0,98.5,"High","High","zero built-up"
"CHBA1","non-winter","Tad.aeg/Mop.plic",20,40,0,155,0,98.5,"High","High","zero built-up"
"CHBA1","winter","PICE",4,40,0,130.66,0,14.8,"High","High","zero built-up"
"CHBA1","winter","PITE",109,40,0,130.66,0,14.8,"High","High","zero built-up"
"CHBA1","winter","Taph.",1,40,0,130.66,0,14.8,"High","High","zero built-up"
"CHBA1","winter","Tad.aeg/Mop.plic",0,40,0,130.66,0,14.8,"High","High","zero built-up"
"CHBA2","non-winter","PICE",12,50,0,9,30,66.9,"High","High","built-up"
"CHBA2","non-winter","PITE",27,50,0,9,30,66.9,"High","High","built-up"
"CHBA2","non-winter","Taph.",0,50,0,9,30,66.9,"High","High","built-up"
"CHBA2","non-winter","Tad.aeg/Mop.plic",5,50,0,9,30,66.9,"High","High","built-up"
"CHBA2","winter","PICE",7,50,0,26.13,30,45.3,"High","High","built-up"
"CHBA2","winter","PITE",155,50,0,26.13,30,45.3,"High","High","built-up"
"CHBA2","winter","Taph.",0,50,0,26.13,30,45.3,"High","High","built-up"
"CHBA2","winter","Tad.aeg/Mop.plic",0,50,0,26.13,30,45.3,"High","High","built-up"
"CHBA3","winter","PICE",12,37.45,13.1,1.7,28.8,97.1,"Low","High","built-up"
"CHBA3","winter","PITE",79,37.45,13.1,1.7,28.8,97.1,"Low","High","built-up"
"CHBA3","winter","Taph.",0,37.45,13.1,1.7,28.8,97.1,"Low","High","built-up"
"CHBA3","winter","Tad.aeg/Mop.plic",0,37.45,13.1,1.7,28.8,97.1,"Low","High","built-up"
"CHBA4","winter","PICE",6,26.55,27.28,0.73,18.28,97.1,"Low","Low","built-up"
"CHBA4","winter","PITE",29,26.55,27.28,0.73,18.28,97.1,"Low","Low","built-up"
"CHBA4","winter","Taph.",1,26.55,27.28,0.73,18.28,97.1,"Low","Low","built-up"
"CHBA4","winter","Tad.aeg/Mop.plic",0,26.55,27.28,0.73,18.28,97.1,"Low","Low","built-up"
"CHBA5","winter","PICE",10,29.39,15.32,6.16,28.3,97.1,"High","High","built-up"
"CHBA5","winter","PITE",135,29.39,15.32,6.16,28.3,97.1,"High","High","built-up"
"CHBA5","winter","Taph.",1,29.39,15.32,6.16,28.3,97.1,"High","High","built-up"
"CHBA5","winter","Tad.aeg/Mop.plic",0,29.39,15.32,6.16,28.3,97.1,"High","High","built-up"
"CHBA6","winter","PICE",9,0,14,6.23,55,26.8,"High","High","built-up"
"CHBA6","winter","PITE",54,0,14,6.23,55,26.8,"High","High","built-up"
"CHBA6","winter","Taph.",0,0,14,6.23,55,26.8,"High","High","built-up"
"CHBA6","winter","Tad.aeg/Mop.plic",0,0,14,6.23,55,26.8,"High","High","built-up"
"CHKO1","non-winter","PICE",5,50,50,7,0,13.7,"High","High","zero built-up"
"CHKO1","non-winter","PITE",0,50,50,7,0,13.7,"High","High","zero built-up"
"CHKO1","non-winter","Taph.",0,50,50,7,0,13.7,"High","High","zero built-up"
"CHKO1","non-winter","Tad.aeg/Mop.plic",0,50,50,7,0,13.7,"High","High","zero built-up"
"ENDA1","non-winter","PICE",0,44,42,5,4,92.1,"High","High","built-up"
"ENDA1","non-winter","PITE",6,44,42,5,4,92.1,"High","High","built-up"
"ENDA1","non-winter","Taph.",1,44,42,5,4,92.1,"High","High","built-up"
"ENDA1","non-winter","Tad.aeg/Mop.plic",1,44,42,5,4,92.1,"High","High","built-up"
"ENDA1","winter","PICE",1,44,42,7,4,4,"High","High","built-up"
"ENDA1","winter","PITE",2,44,42,7,4,4,"High","High","built-up"
"ENDA1","winter","Taph.",2,44,42,7,4,4,"High","High","built-up"
"ENDA1","winter","Tad.aeg/Mop.plic",1,44,42,7,4,4,"High","High","built-up"
"ENDA2","non-winter","PICE",2,51.32,34.18,0,0,92.1,"Low","Low","zero built-up"
"ENDA2","non-winter","PITE",77,51.32,34.18,0,0,92.1,"Low","Low","zero built-up"
"ENDA2","non-winter","Taph.",0,51.32,34.18,0,0,92.1,"Low","Low","zero built-up"
"ENDA2","non-winter","Tad.aeg/Mop.plic",0,51.32,34.18,0,0,92.1,"Low","Low","zero built-up"
"ENDA2","winter","PICE",1,51.32,34.18,3.03,0,26.8,"Low","High","zero built-up"
"ENDA2","winter","PITE",36,51.32,34.18,3.03,0,26.8,"Low","High","zero built-up"
"ENDA2","winter","Taph.",0,51.32,34.18,3.03,0,26.8,"Low","High","zero built-up"
"ENDA2","winter","Tad.aeg/Mop.plic",0,51.32,34.18,3.03,0,26.8,"Low","High","zero built-up"
"ENDA3","winter","PICE",0,0,57,9,0,4,"High","High","zero built-up"
"ENDA3","winter","PITE",4,0,57,9,0,4,"High","High","zero built-up"
"ENDA3","winter","Taph.",0,0,57,9,0,4,"High","High","zero built-up"
"ENDA3","winter","Tad.aeg/Mop.plic",0,0,57,9,0,4,"High","High","zero built-up"
"ENDA5","winter","PICE",10,3,38,0,2,10.2,"Low","Low","built-up"
"ENDA5","winter","PITE",51,3,38,0,2,10.2,"Low","Low","built-up"
"ENDA5","winter","Taph.",1,3,38,0,2,10.2,"Low","Low","built-up"
"ENDA5","winter","Tad.aeg/Mop.plic",0,3,38,0,2,10.2,"Low","Low","built-up"
"ENDA6","winter","PICE",41,0,0,0,25,10.2,"Low","Low","built-up"
"ENDA6","winter","PITE",63,0,0,0,25,10.2,"Low","Low","built-up"
"ENDA6","winter","Taph.",4,0,0,0,25,10.2,"Low","Low","built-up"
"ENDA6","winter","Tad.aeg/Mop.plic",0,0,0,0,25,10.2,"Low","Low","built-up"
"ENDA7","winter","PICE",0,0,0,0,23,10.2,"Low","Low","built-up"
"ENDA7","winter","PITE",77,0,0,0,23,10.2,"Low","Low","built-up"
"ENDA7","winter","Taph.",2,0,0,0,23,10.2,"Low","Low","built-up"
"ENDA7","winter","Tad.aeg/Mop.plic",0,0,0,0,23,10.2,"Low","Low","built-up"
"ENMA1","non-winter","PICE",9,71.4,28.6,2,0,79,"Low","High","zero built-up"
"ENMA1","non-winter","PITE",132,71.4,28.6,2,0,79,"Low","High","zero built-up"
"ENMA1","non-winter","Taph.",0,71.4,28.6,2,0,79,"Low","High","zero built-up"
"ENMA1","non-winter","Tad.aeg/Mop.plic",0,71.4,28.6,2,0,79,"Low","High","zero built-up"
"ENMA1","winter","PICE",4,42.55,34.47,1.3,0,12.9,"Low","High","zero built-up"
"ENMA1","winter","PITE",71,42.55,34.47,1.3,0,12.9,"Low","High","zero built-up"
"ENMA1","winter","Taph.",0,42.55,34.47,1.3,0,12.9,"Low","High","zero built-up"
"ENMA1","winter","Tad.aeg/Mop.plic",0,42.55,34.47,1.3,0,12.9,"Low","High","zero built-up"
"ENMA2","non-winter","PICE",24,80,0,1,0,66.1,"Low","High","zero built-up"
"ENMA2","non-winter","PITE",1,80,0,1,0,66.1,"Low","High","zero built-up"
"ENMA2","non-winter","Taph.",20,80,0,1,0,66.1,"Low","High","zero built-up"
"ENMA2","non-winter","Tad.aeg/Mop.plic",1,80,0,1,0,66.1,"Low","High","zero built-up"
"ENMA2","winter","PICE",9,80,0,4.96,0,99.9,"Low","High","zero built-up"
"ENMA2","winter","PITE",322,80,0,4.96,0,99.9,"Low","High","zero built-up"
"ENMA2","winter","Taph.",36,80,0,4.96,0,99.9,"Low","High","zero built-up"
"ENMA2","winter","Tad.aeg/Mop.plic",0,80,0,4.96,0,99.9,"Low","High","zero built-up"
"ENMA3","non-winter","PICE",11,80,20,0,0,66.1,"Low","Low","zero built-up"
"ENMA3","non-winter","PITE",51,80,20,0,0,66.1,"Low","Low","zero built-up"
"ENMA3","non-winter","Taph.",48,80,20,0,0,66.1,"Low","Low","zero built-up"
"ENMA3","non-winter","Tad.aeg/Mop.plic",6,80,20,0,0,66.1,"Low","Low","zero built-up"
"ENMA3","winter","PICE",1,80,20,14.56,0,99.9,"High","High","zero built-up"
"ENMA3","winter","PITE",66,80,20,14.56,0,99.9,"High","High","zero built-up"
"ENMA3","winter","Taph.",0,80,20,14.56,0,99.9,"High","High","zero built-up"
"ENMA3","winter","Tad.aeg/Mop.plic",0,80,20,14.56,0,99.9,"High","High","zero built-up"
"ENMA4","non-winter","PICE",3,63,10,0,0,66.1,"Low","Low","zero built-up"
"ENMA4","non-winter","PITE",2,63,10,0,0,66.1,"Low","Low","zero built-up"
"ENMA4","non-winter","Taph.",5,63,10,0,0,66.1,"Low","Low","zero built-up"
"ENMA4","non-winter","Tad.aeg/Mop.plic",45,63,10,0,0,66.1,"Low","Low","zero built-up"
"ENMA4","winter","PICE",4,62.14,8.43,0,0,12.9,"Low","Low","zero built-up"
"ENMA4","winter","PITE",190,62.14,8.43,0,0,12.9,"Low","Low","zero built-up"
"ENMA4","winter","Taph.",48,62.14,8.43,0,0,12.9,"Low","Low","zero built-up"
"ENMA4","winter","Tad.aeg/Mop.plic",0,62.14,8.43,0,0,12.9,"Low","Low","zero built-up"
"GITA1","winter","PICE",1,60,0,56.7,30,26.8,"High","High","built-up"
"GITA1","winter","PITE",115,60,0,56.7,30,26.8,"High","High","built-up"
"GITA1","winter","Taph.",1,60,0,56.7,30,26.8,"High","High","built-up"
"GITA1","winter","Tad.aeg/Mop.plic",0,60,0,56.7,30,26.8,"High","High","built-up"
"GITA2","winter","PICE",1,90,0,29.33,10,26.8,"High","High","built-up"
"GITA2","winter","PITE",0,90,0,29.33,10,26.8,"High","High","built-up"
"GITA2","winter","Taph.",0,90,0,29.33,10,26.8,"High","High","built-up"
"GITA2","winter","Tad.aeg/Mop.plic",0,90,0,29.33,10,26.8,"High","High","built-up"
"HILL4","non-winter","PICE",4,45,55,2,0,7.1,"Low","High","zero built-up"
"HILL4","non-winter","PITE",110,45,55,2,0,7.1,"Low","High","zero built-up"
"HILL4","non-winter","Taph.",65,45,55,2,0,7.1,"Low","High","zero built-up"
"HILL4","non-winter","Tad.aeg/Mop.plic",0,45,55,2,0,7.1,"Low","High","zero built-up"
"HILL4","winter","PICE",31,45,55,0,0,14.8,"Low","Low","zero built-up"
"HILL4","winter","PITE",20,45,55,0,0,14.8,"Low","Low","zero built-up"
"HILL4","winter","Taph.",2,45,55,0,0,14.8,"Low","Low","zero built-up"
"HILL4","winter","Tad.aeg/Mop.plic",0,45,55,0,0,14.8,"Low","Low","zero built-up"
"ITHI1","non-winter","PICE",77,89,11,0,0,22.3,"Low","Low","zero built-up"
"ITHI1","non-winter","PITE",4,89,11,0,0,22.3,"Low","Low","zero built-up"
"ITHI1","non-winter","Taph.",1,89,11,0,0,22.3,"Low","Low","zero built-up"
"ITHI1","non-winter","Tad.aeg/Mop.plic",0,89,11,0,0,22.3,"Low","Low","zero built-up"
"ITHI1","winter","PICE",7,92,0,0,0,21.1,"Low","Low","zero built-up"
"ITHI1","winter","PITE",11,92,0,0,0,21.1,"Low","Low","zero built-up"
"ITHI1","winter","Taph.",0,92,0,0,0,21.1,"Low","Low","zero built-up"
"ITHI1","winter","Tad.aeg/Mop.plic",0,92,0,0,0,21.1,"Low","Low","zero built-up"
"JEWL1","non-winter","PICE",35,100,0,0,0,99.5,"Low","Low","zero built-up"
"JEWL1","non-winter","PITE",27,100,0,0,0,99.5,"Low","Low","zero built-up"
"JEWL1","non-winter","Taph.",0,100,0,0,0,99.5,"Low","Low","zero built-up"
"JEWL1","non-winter","Tad.aeg/Mop.plic",0,100,0,0,0,99.5,"Low","Low","zero built-up"
"JEWL1","winter","PICE",19,100,0,0,0,21.1,"Low","Low","zero built-up"
"JEWL1","winter","PITE",11,100,0,0,0,21.1,"Low","Low","zero built-up"
"JEWL1","winter","Taph.",1,100,0,0,0,21.1,"Low","Low","zero built-up"
